Player,Age,G,MP,eFG%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PTS
Jason Caffey\caffeja01,26,71,30.4,0.479,2.9,4.9,0.597,6.8,1.7,0.9,0.3,2.4,12
Mark Davis\davisma02,26,23,20.2,0.409,1.3,2,0.66,3.7,1.7,1.1,0.2,1.7,6.2
Andrew DeClercq\declean01,26,82,22.3,0.508,1.1,2,0.588,5.4,0.7,0.8,0.8,1.3,6.6
Tony Delk\delkto01,26,46,14.8,0.446,1,1.3,0.797,1.9,1.2,0.8,0.1,0.7,6.4
Michael Finley\finlemi01,26,82,42.2,0.487,3.2,3.9,0.82,6.3,5.3,1.3,0.4,2.4,22.6
Darvin Ham\hamda01,26,35,22.6,0.555,1,2.2,0.449,4.9,1.2,0.8,0.8,0.8,5.1
Othella Harrington\harriot01,26,82,32.6,0.506,2.9,3.6,0.792,6.9,1.2,0.4,0.7,2.6,13.1
Juwan Howard\howarju01,26,82,35.5,0.459,2.5,3.4,0.735,5.7,3,0.8,0.3,2.7,14.9
Rick Hughes\hugheri02,26,21,10.7,0.486,0.6,1.2,0.462,2.3,0.4,0.1,0,0.7,3.9
Bobby Jackson\jacksbo01,26,73,14.2,0.423,1,1.3,0.776,2.1,2.4,0.7,0.1,0.8,5.1
Jason Kidd*\kiddja01,26,67,39,0.442,3,3.7,0.829,7.2,10.1,2,0.4,3.4,14.3
Rusty LaRue\larueru01,26,4,32.3,0.372,1.3,1.8,0.714,2.5,2.8,1.8,0,1.8,9.3
Voshon Lenard\lenarvo01,26,53,27.1,0.487,1.6,2,0.792,2.9,2.6,0.8,0.3,1.5,11.9
Donyell Marshall\marshdo01,26,64,32.4,0.423,3.1,4,0.78,10,2.6,1.1,1.1,1.9,14.2
Lamond Murray\murrala01,26,74,32,0.476,2.8,3.6,0.761,5.7,1.8,1.4,0.5,2.5,15.9
Moochie Norris\norrimo01,26,30,16.7,0.472,1.9,2.4,0.781,2.3,3.1,0.8,0,1,6.9
Greg Ostertag\ostergr01,26,81,19.8,0.464,1.5,2.3,0.636,6,0.2,0.2,2.1,1,4.5
Theo Ratliff\ratlith01,26,57,31.5,0.503,3.2,4.1,0.771,7.6,0.6,0.6,3,1.9,11.9
Bryant Reeves\reevebr01,26,69,25.7,0.448,1.6,2.4,0.648,5.7,1.2,0.5,0.6,1.7,8.9
Don Reid\reiddo01,26,38,13.1,0.536,0.6,0.9,0.706,2.7,0.3,0.6,0.8,0.6,3.8
Rodrick Rhodes\rhodero01,26,1,8,0,0,0,,1,0,2,0,2,0
Roy Rogers\rogerro02,26,40,8.9,0.398,0.5,1,0.463,2,0.2,0.1,1,0.3,2.2
Eric Snow\snower01,26,82,35,0.44,1.5,2.2,0.712,3.2,7.6,1.7,0.1,2,7.9
Damon Stoudamire\stoudda01,26,78,30.4,0.477,1.6,1.9,0.841,3.1,5.2,1,0,1.9,12.5
Erick Strickland\stricer01,26,68,29.8,0.483,2.4,2.9,0.831,4.8,3.1,1.5,0.2,1.5,12.8
Bob Sura\surabo01,26,73,30.4,0.512,2.4,3.4,0.697,3.9,3.9,1.2,0.3,2,13.8
Jamel Thomas\thomaja01,26,7,6.6,0.444,0.1,0.1,1,0.7,0.9,0.1,0,0.7,2.4
Chris Webber\webbech01,26,75,38.4,0.492,4.1,5.5,0.751,10.5,4.6,1.6,1.7,2.9,24.5
Jerome Williams\willije01,26,82,25.6,0.564,2.1,3.5,0.616,9.6,0.8,1.2,0.3,1.3,8.4
Corliss Williamson\willico02,26,76,22.5,0.5,2.1,2.8,0.769,3.8,1.1,0.5,0.3,1.4,10.3
Travis Best\besttr01,27,82,20.6,0.514,1.9,2.3,0.821,1.7,3.3,0.9,0.1,1.3,8.9
Lazaro Borrell\borrela01,27,17,9.8,0.444,0.4,0.6,0.545,2.4,0.6,0.4,0.2,0.4,3.6
Shawn Bradley\bradlsh01,27,77,24.7,0.48,1.5,1.9,0.765,6.5,0.8,0.9,2.5,1,8.4
Rick Brunson\brunsri01,27,37,7.8,0.429,0.3,0.5,0.611,0.7,1.3,0.2,0,0.8,1.9
Bill Curley\curlebi01,27,28,11,0.426,0.6,0.9,0.72,1.8,0.5,0.5,0.1,0.8,2.7
Ben Davis\davisbe01,27,5,4.4,0.333,0,0,,1.8,0.4,0.2,0.2,0.6,0.8
Howard Eisley\eisleho01,27,82,25.6,0.462,1,1.2,0.824,2.1,4.2,0.7,0.1,1.6,8.6
Brian Grant\grantbr01,27,63,21,0.493,1.8,2.6,0.675,5.5,1,0.5,0.4,1.3,7.3
Devin Gray\grayde01,27,21,5.9,0.405,0.9,1.4,0.655,1.2,0.2,0.2,0.1,0.2,2.3
Michael Hawkins\hawkimi01,27,12,3,0.269,0.1,0.2,0.5,0.6,1.1,0,0,0.3,0.7
Alan Henderson\hendeal01,27,82,33.8,0.462,2.7,4.1,0.671,7,0.9,1,0.7,1.7,13.2
Grant Hill*\hillgr01,27,74,37.5,0.501,6.5,8.2,0.795,6.6,5.2,1.4,0.6,3.2,25.8
Fred Hoiberg\hoibefr01,27,31,27.3,0.457,2.2,2.5,0.908,3.5,2.7,1.3,0.1,1.4,9
Gerard King\kingge02,27,62,17.1,0.502,0.8,1.1,0.742,4,0.8,0.5,0.2,0.7,5.3
Antonio Lang\langan02,27,10,3.8,0.167,0.4,0.5,0.8,0.5,0.2,0.4,0.1,0.2,0.6
Donny Marshall\marshdo02,27,6,6.5,0.273,0.8,1,0.833,0.2,0,0.3,0,0.5,1.8
Jamal Mashburn\mashbja01,27,76,37.2,0.493,2.4,3.1,0.778,5,3.9,1,0.2,2.4,17.5
Jim McIlvaine\mcilvji01,27,66,15.9,0.416,0.4,0.8,0.518,3.5,0.5,0.4,1.8,0.6,2.4
Aaron McKie\mckieaa01,27,82,23.8,0.449,1.5,1.8,0.829,3,2.9,1.3,0.2,1.4,8
Shaquille O'Neal*\onealsh01,27,79,40,0.574,5.5,10.4,0.524,13.6,3.8,0.5,3,2.8,29.7
Kevin Ollie\ollieke01,27,40,7.3,0.449,0.7,0.9,0.757,0.8,1.2,0.3,0,0.3,1.8
Cherokee Parks\parksch02,27,56,14.4,0.497,0.4,0.7,0.649,3.3,0.6,0.5,0.8,0.5,3
Khalid Reeves\reevekh01,27,3,16,0.25,1.7,1.7,1,1.3,4.3,0.7,0,2,3.7
Glenn Robinson\robingl01,27,81,35.9,0.502,2.8,3.5,0.802,6,2.4,1,0.5,2.8,20.9
Jalen Rose\roseja01,27,80,37.2,0.503,3.2,3.8,0.827,4.8,4,1.1,0.6,2.4,18.2
Dickey Simpkins\simpkdi01,27,69,23.9,0.405,0.9,1.7,0.542,5.4,1.4,0.3,0.3,1.9,4.2
Michael Smith\smithmi02,27,46,24.9,0.563,1.6,2.2,0.723,7.2,1.2,0.6,0.5,1,6.3
